Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
384	NCT00954213	A Study of a Developmental,Individual-Difference,Relationship-Bases/Floortime Intervention for Children With Autistic	DIR	Completed	No Results Available	Autism Spectrum Disorders	Behavioral: DIR/Floortime parent intervention	The Functional Emotional Assessment Scale (FEAS) Ratings (the child part)|The Childhood Autism Rating Scale (CARS) Clinical rating of the children (6 point scale related to Greenspan's six Functional Development Level -FDL) Satisfaction of the effectiveness of the intervention of their child (Six-point Likert scale)	Mahidol University	All	2 Years to 6 Years   (Child)	Not Applicable	40	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	206/2551(EC1)	May 2008	March 2010	June 2010	August 7, 2009		July 26, 2010	Kingkaew Pajareya, Bangkoknoi, Bangkok, Thailand		https://ClinicalTrials.gov/show/NCT00954213
385	NCT01535508	Open Label Clinical Trial of Vitamin D in Children With Autism		Completed	No Results Available	Autism|Vitamin D Deficiency	Drug: Liquid Vitamin D	Clinical Global Impression Scale - Improvement (CGI-I)	University of California, San Francisco	All	3 Years to 8 Years   (Child)	Phase 2|Phase 3	10	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	VitD11-06899	February 2012	September 2015	December 2015	February 17, 2012		October 9, 2019	University of California, San Francisco, San Francisco, California, United States		https://ClinicalTrials.gov/show/NCT01535508
386	NCT05235919	Treatment to Promote Self-regulation in Children With Autism Spectrum Disorder		Recruiting	No Results Available	Autism Spectrum Disorder|Self-Regulation, Emotion	Device: repetitive transcranial magnetic stimulation (rTMS)|Other: Sham stimulation	Recruitment|Attrition|Adherence|Blinding success|Clinical Measure of Self-regulation: Emotion Dysregulation Index Reactivity and Dysphoria|Clinical Measure of Self-Regulation: The Response To Stress Questionnaire - Family Stress|Clinical Measure of Self-regulation: Aberrant Behaviour Checklist - Irritability Subscale|Clinical Measure of Self-regulation: Emotional Regulation Checklist|Overall Clinical Change|Inhibitory control|Functional brain changes (magnetic resonance imaging)|Structural brain changes (magnetic resonance imaging)	Holland Bloorview Kids Rehabilitation Hospital|Centre for Addiction and Mental Health|University of Toronto	All	9 Years to 18 Years   (Child, Adult)	Phase 2	50	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	ASDSR01	September 22, 2022	February 2025	February 2025	February 11, 2022		October 31, 2022	Bloorivew Research Institute, Toronto, Ontario, Canada		https://ClinicalTrials.gov/show/NCT05235919
387	NCT02300597	Internet-based Support for Young People With ADHD and Autism - a Controlled Study		Completed	No Results Available	ADHD|Autism Spectrum Disorders	Other: Internet based support and coaching	QoL|Self esteem|Sense of coherence|Anxiety and depressive symptoms|Depressive symptoms	Göteborg University|Södra Älvsborg Hospital|Habilitation Services in Skaraborg, Skövde	All	15 Years to 30 Years   (Child, Adult)	Not Applicable	45	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	IBSC-2	September 2010	June 2015	June 2015	November 25, 2014		May 21, 2019	Department of Psychiatry and Neurochemistry, Institute of Neurosceince and Physiology, Gothenburg, Sweden		https://ClinicalTrials.gov/show/NCT02300597
388	NCT04980677	A Smart Toy for Motor Function and Early Assessment of Children With Possible Autism	Tangiball	Recruiting	No Results Available	Autism Spectrum Disorder|Neurodevelopmental Disorders	Device: Tangiball	Accelerometer outputs|User Experience Questionnaire|"Hands-On" assessment tool	Sussex Community NHS Foundation Trust|National Institute for Health Research, United Kingdom|Brighton & Sussex Medical School|Nottingham Trent University|University of Cambridge|Council for Disabled Children|Autistica	All	2 Years to 5 Years   (Child)	Not Applicable	20	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Device Feasibility	SCFT v1.0_Tangiball_29/04/2021	February 1, 2021	November 30, 2022	December 31, 2022	July 28, 2021		May 19, 2022	Sussex Community NHS Foundation Trust, Brighton, United Kingdom		https://ClinicalTrials.gov/show/NCT04980677
389	NCT03982888	Deep Brain Stimulation in Children With Autism		Recruiting	No Results Available	Autism Spectrum Disorder|Self-Injurious Behavior	Procedure: Deep Brain Stimulation|Device: DBS	Changes in repetitive behaviour|Changes in self-injurious behaviour|Changes in abberant behaviour|Changes in obsessive-compulsive thoughts|Changes in quality of life|Changes in physical brain abnormalities|Changes in metabolic brain abnormalities|Changes in activity|Type of adverse events reported in caregiver logs|Changes in number of complications pre and post intervention will be compared.	The Hospital for Sick Children	All	7 Years to 18 Years   (Child, Adult)	Not Applicable	6	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	REB1000060282	August 14, 2019	August 14, 2023	August 14, 2024	June 12, 2019		October 25, 2022	The Hospital for Sick Children, Toronto, Ontario, Canada		https://ClinicalTrials.gov/show/NCT03982888
390	NCT04450641	Piloting a Mobile Game for Behavioral Therapy		Completed	No Results Available	Autism Spectrum Disorder|Autism	Other: GuessWhat Mobile Application	Change in parent reported social responsiveness from week 0 to week 4|Change in parent reported socialization subscale scores of the Vineland Adaptive Behavior Scales,2nd Edition (VABS-II) from baseline to week 4|GuessWhat App Usage Data|Parent reported feedback|Change in parent reported communication subscale scores of the Vineland Adaptive Behavior Scales,2nd Edition (VABS-II) from baseline to week 4	Stanford University	All	3 Years to 12 Years   (Child)	Not Applicable	186	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other	39562	October 1, 2019	December 1, 2020	December 31, 2020	June 29, 2020		February 3, 2021	Stanford University, Stanford, California, United States		https://ClinicalTrials.gov/show/NCT04450641
391	NCT00027404	Study of Fluoxetine in Adults With Autistic Disorder		Completed	No Results Available	Autistic Disorder	Drug: Fluoxetine		Icahn School of Medicine at Mount Sinai|FDA Office of Orphan Products Development	All	18 Years to 65 Years   (Adult, Older Adult)	Not Applicable	48	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment	FD-R-2026-01|FD-R-002026-01	September 2001		August 2005	December 7, 2001		March 25, 2015	Mount Sinai School of Medicine, New York, New York, United States		https://ClinicalTrials.gov/show/NCT00027404
392	NCT04319640	Cognitive Behaviour Therapy for Sleep Problems in Children With Autism Spectrum Disorder		Unknown status	No Results Available	Autism Spectrum Disorder|Cognitive Behaviour Therapy	Behavioral: Cognitive behaviour therapy for insomnia|Behavioral: psychoeducation for ASD	congnitive-neural outcomes|ADOS-2|Sleep diaries by using Actigraphy	Shanghai Jiao Tong University School of Medicine	All	24 Months to 59 Months   (Child)	Not Applicable	160	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment	SCMCIRB-K2018040	March 1, 2019	September 1, 2020	December 31, 2020	March 24, 2020		March 24, 2020	shanghai children's medicial center affiliated shanghai jiaotong University School of Medicine, Shanghai, Shanghai, China		https://ClinicalTrials.gov/show/NCT04319640
393	NCT04675580	Telehealth Language Intervention for Children With Autism Ages 2-4 Years		Completed	No Results Available	Autism Spectrum Disorder	Behavioral: Toy Talk	Change in number of unique combinations of subjects and verbs - caregiver|Change in number of unique combinations of subjects and verbs - child|Change in caregiver mean length of utterance|Change in child mean length of utterance|Change in Brief Observation of Social Communication Change (BOSCC) scores|Change in scores on the Observation of Spontaneous Expressive Language (OSEL) - baseline|Change in scores on the Vineland-3	Weill Medical College of Cornell University	All	2 Years to 4 Years   (Child)	Not Applicable	14	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment	21-03023432|19-07020518	December 23, 2020	July 15, 2022	July 15, 2022	December 19, 2020		August 2, 2022	Center for Autism and the Developing Brain/New York-Presbyterian Hospital, White Plains, New York, United States		https://ClinicalTrials.gov/show/NCT04675580
394	NCT02903030	Probiotics for Quality of Life in Autism Spectrum Disorders		Completed	Has Results	Autism Spectrum Disorders|Anxiety	Drug: Maltose (placebo)|Drug: Visbiome Extra Strength	Change in Gastrointestinal (GI) Module of the Pediatric Quality of Life Inventory (PedsQL) at From Baseline at Week 8|Change in Target Symptom Rating From Baseline at Week 8|Change in Parent Anxiety Checklist--ASD From Baseline at Week 8|Change in The Aberrant Behavior Checklist (ABC) From Baseline at Week 8|Change in Social Responsiveness Scale (SRS) From Baseline at Week 8|Children's Sleep Habits Questionnaire (CSHQ) at Week 8|Change in The Parenting Stress Index Short Form (PSI)	Ohio State University|Autism Treatment Network|Autism Speaks	All	3 Years to 12 Years   (Child)	Early Phase 1	13	Other	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment	2016H0174	August 2016	December 1, 2017	December 1, 2017	September 16, 2016	February 5, 2020	February 5, 2020	Ohio State University Wexner Medical Center, Columbus, Ohio, United States	"Study Protocol and Statistical Analysis Plan", https://ClinicalTrials.gov/ProvidedDocs/30/NCT02903030/Prot_SAP_000.pdf	https://ClinicalTrials.gov/show/NCT02903030
395	NCT03323931	The Efficacy of Robot-enhanced Therapy for Children With Autism Spectrum Disorders	DREAM-RCT	Completed	No Results Available	Autistic Disorders Spectrum	Behavioral: (2) robot--enhanced intervention|Behavioral: (1) discrete trial training / cognitive-behavior therapy	Changes in Imitation skills ratings|Changes in Joint-attention skills ratings|Changes in Turn-taking skills ratings|Changes in Engagement in the task ratings|Changes in Verbal utterances ratings|Changes in Performance in sharing information task|Changes in Performance in sorting in categories task|Performance in continuing repetitive patterns task	Babes-Bolyai University|University of Skövde|Vrije Universiteit Brussel|University of Plymouth|University of Portsmouth|De Montfort University|SoftBank Robotics	All	3 Years to 6 Years   (Child)	Not Applicable	70	Other	Interventional	Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Single (Investigator)|Primary Purpose: Treatment	30664/10.02.2017	March 1, 2017	December 31, 2018	December 31, 2018	October 27, 2017		May 14, 2019	Babes-Bolyai University Psychological Clinic, Cluj-Napoca, Romania		https://ClinicalTrials.gov/show/NCT03323931
396	NCT03279471	Specifying and Treating Anxiety in Autism Research	STAAR	Recruiting	No Results Available	Autism Spectrum Disorder|Anxiety	Drug: Sertraline|Behavioral: CBT/BIACA|Drug: Placebo	Change in Pediatric Anxiety Rating Scale	University of California, Davis	All	8 Years to 14 Years   (Child)	Phase 2	132	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment	1097281	October 1, 2017	December 15, 2022	June 14, 2023	September 12, 2017		February 7, 2022	UC Davis MIND Institute, Sacramento, California, United States		https://ClinicalTrials.gov/show/NCT03279471
397	NCT03099239	hCT-MSCs for Children With Autism Spectrum Disorder (ASD)	hCT-MSCs	Completed	No Results Available	Autism|Autism Spectrum Disorder|ASD	Biological: hCT-MSC infusion	Incidence of Infusion reactions|Incidence of Infections	Joanne Kurtzberg, MD|The Marcus Foundation|Duke University	All	2 Years to 11 Years   (Child)	Phase 1	12	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	Pro00079421	June 6, 2017	June 10, 2019	June 10, 2019	April 4, 2017		December 3, 2019	Duke University Medical Center, Durham, North Carolina, United States		https://ClinicalTrials.gov/show/NCT03099239
398	NCT02813564	Cognitive Training in Children With ASD		Unknown status	No Results Available	Autism Spectrum Disorder	Behavioral: Cognitive Assessment & Video-game INtervention Solutions (CAVINS)	The Dimensional Change Card Sorting task (DCCS): Measuring change in mental flexibility|The Go/NoGo task: Measuring change in inhibitory control|The preschool version of the Behavior Rating Inventory of Executive Function (BRIEF-P): Measuring change in everyday executive functions|Flanker Test: Measuring change in selective attention|Aberrant Behaviour Checklist (ABC): Measuring change in behaviour|Tower of Hanoi: Measuring change in planning ability|The Stroop-like day-night: Measuring change in inhibitory control|Sequential Order (SO): Measuring change in reasoning ability|The Peabody Picture Vocabulary Test (PPVT): Measuring change in communication abilities	McMaster University	All	3 Years to 7 Years   (Child)	Not Applicable	50	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment	0323	March 2, 2018	March 1, 2019	March 1, 2020	June 27, 2016		August 21, 2018	McMaster University, Hamilton, Ontario, Canada		https://ClinicalTrials.gov/show/NCT02813564
399	NCT04049981	Investigation of Mechanisms of Action in Superpower Glass		Suspended	No Results Available	Autism Spectrum Disorder|Autism	Device: Superpower Glass	Change in socialization subscale scores of the Vineland Adaptive Behavior Scales,3rd Edition (VABS-III) from baseline to week 4.|Change in Parent Rated Social Responsiveness Scale 2 (SRS-2) from baseline to week 4|Changes in Parent Self Agency Measure scores from Baseline to Week 4|Change in ASD symptoms as measured by Brief Observation of Social Communication Change (BOSCC) from baseline to week 4	Stanford University	All	4 Years to 8 Years   (Child)	Phase 1|Phase 2	80	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	34059|PHIND Dream Team Award|SPARK Pilot Program	September 4, 2019	December 1, 2023	March 1, 2024	August 8, 2019		December 14, 2022	Stanford University, Stanford, California, United States		https://ClinicalTrials.gov/show/NCT04049981
400	NCT05017779	A Hybrid Effectiveness-implementation Trial of a School Based Executive Function Treatment for Transition Age Youth With Autism		Enrolling by invitation	No Results Available	Executive Dysfunction|Autism Spectrum Disorder|Adolescent Behavior	Behavioral: Unstuck & On Target: High School|Other: Treatment as Usual	Classroom Behavior|Adaptive Behavior (at follow-up)|Adaptive Behavior (end of intervention)	Children's National Research Institute	All	14 Years to 22 Years   (Child, Adult)	Not Applicable	224	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	R01MH124772	September 7, 2021	October 30, 2024	November 30, 2024	August 24, 2021		November 3, 2021	Center for Autism Spectrum Disorders, Children's National Hospital, Rockville, Maryland, United States		https://ClinicalTrials.gov/show/NCT05017779
401	NCT01661855	A Pilot Study of Riluzole Versus Placebo in the Treatment of Children and Adolescents With ASD	RILISE	Completed	No Results Available	Autism Spectrum Disorders	Drug: Riluzole|Drug: Placebo	Efficacy of riluzole vs. placebo on measures of social function|Efficacy of riluzole vs. placebo on measures of repetitive behaviors|Safety and tolerability of riluzole in children and adolescents with ASD	Evdokia Anagnostou|Holland Bloorview Kids Rehabilitation Hospital|McMaster University|The Hospital for Sick Children|University of Western Ontario, Canada|Unity Health Toronto|University of Toronto|Anagnostou, Evdokia, M.D.	All	6 Years to 17 Years   (Child)	Phase 2	58	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	RILISE-07-2013	September 2013	September 2015	October 2015	August 10, 2012		March 20, 2017	Offord Centre for Child Studies, Hamilton, Ontario, Canada|Lawson Health Research Institute, London, Ontario, Canada|Holland Bloorview Kids Rehabilitation Hospital, Toronto, Ontario, Canada		https://ClinicalTrials.gov/show/NCT01661855
402	NCT03592654	Pilot Study: A Telehealth Intervention for Caregivers of Infants With Early Signs of Autism Spectrum Disorder		Completed	No Results Available	Autism Spectrum Disorder|Developmental Delay	Behavioral: infant telehelp	Child Behaviors Targeted by Intervention|Autism Observation Scale for Infants|Ages and Stages Questionnaires, 3rd Edition|Individual Growth and Development Indices|Vineland Adaptive Behavior Scales, 2nd edition|Parent Satisfaction Rating|Working Alliance Scale for Interventions with Children|Caregiver Fidelity of Treatment Implementation	University of California, Davis	All	5 Months to 12 Months   (Child)	Not Applicable	12	Other	Interventional	Allocation: N/A|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	1249018	July 1, 2018	September 18, 2019	October 1, 2019	July 19, 2018		September 4, 2020	MIND institute, Sacramento, California, United States		https://ClinicalTrials.gov/show/NCT03592654
403	NCT02278328	MEG Study of Acute STX209 Effects in ASD		Completed	Has Results	Autism Disorder	Drug: STX209 (15mg)|Drug: placebo|Drug: STX209 (30mg)	M50 Latency (Left Hemisphere)|M50 Latency (Right Hemisphere)|Steady State Inter Trial Coherence (Left Hemisphere)|Steady State Inter Trial Coherence (Right Hemisphere)|GABA (Left Hemisphere)	Timothy Roberts|Simons Foundation|Clinical Research Associates, LLC|Children's Hospital of Philadelphia	Male	14 Years to 17 Years   (Child)	Early Phase 1	25	Other	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science	14-010857	February 2016	July 30, 2018	September 27, 2019	October 30, 2014	October 21, 2019	October 21, 2019	Children's Hospital of Phladelphia, Philadelphia, Pennsylvania, United States	"Study Protocol and Statistical Analysis Plan", https://ClinicalTrials.gov/ProvidedDocs/28/NCT02278328/Prot_SAP_000.pdf	https://ClinicalTrials.gov/show/NCT02278328
404	NCT03883139	PRISM Intervention Study		Recruiting	No Results Available	Autism Spectrum Disorder	Behavioral: JASPER|Behavioral: DTT (Discrete Trial Training)	Change of spontaneous utterances (SCU) from the Language Sample throughout the study.|Change in Joint Engagement on the Adult-Child Interaction (ACX) over the course of the study.|Change in receptive language using the Preschool Language Scales-5 (PLS-5) throughout the study.|Presence of word combinations in the Language Sample over the course of the study.	University of California, Los Angeles	All	36 Months to 59 Months   (Child)	Not Applicable	140	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	19-000193	March 1, 2021	March 31, 2025	March 31, 2026	March 20, 2019		August 15, 2022	UCLA, Los Angeles, California, United States|University of Rochester, Rochester, New York, United States|University of Oregon, Eugene, Oregon, United States		https://ClinicalTrials.gov/show/NCT03883139
405	NCT02995564	The Multi-Media Social Skills Project for Adults		Completed	No Results Available	Autism Spectrum Disorders	Behavioral: social skills therapy	Social Responsiveness Scale - Adult|Video recording of Social Interaction|Achenbach Adult Behavior Checklist|Social and Emotional Loneliness Scale for Adults (SELSA)|Social Skills Inventory (SSI)|Social Phobia Inventory (SPIN)|Empathy Quotient|Achenbach Adult Behavior Checklist - Self Report|Social Fluency Assessment	Milton S. Hershey Medical Center|Pennsylvania Bureau of Autism Services	All	18 Years to 35 Years   (Adult)	Not Applicable	199	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	41078EP	July 2013	April 9, 2018	April 9, 2018	December 16, 2016		March 13, 2019	The Pennsylvania Psychiatric Institute Northeast Drive Clinic, Hershey, Pennsylvania, United States		https://ClinicalTrials.gov/show/NCT02995564
406	NCT03721913	Participation-based Intervention on Community Participation and Parent Empowerment for Children With ASD	PBI-ASD	Completed	No Results Available	Autism Spectrum Disorder	Other: participation-based intervention	Change in the Canadian Occupational Performance Measure (COPM) performance and satisfaction scores|Change in the Goal Attainment Scaling (GAS) scores|Parent Empowerment and Efficacy Measure (PEEM)|Family Quality of Life (FaQoL)|Chinese version of Family-Professional Partnership Scale (FPPS-P-C)	Chang Gung University|Chang Gung Memorial Hospital	All	6 Years to 10 Years   (Child)	Not Applicable	24	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	201800429A3	October 23, 2018	December 30, 2020	December 30, 2020	October 26, 2018		August 26, 2022	Chang Gung University, Taoyuan, Taiwan		https://ClinicalTrials.gov/show/NCT03721913
407	NCT05531669	Effect of PLAY Project Intervention Program on Children With ASD		Recruiting	No Results Available	Autism Spectrum Disorder	Behavioral: PLAY Project|Behavioral: Parental Education	Changes in Diagnostic and Statistical Manual of Mental Disorders fifth edition (DSM-Ⅴ) in ASD children|Changes in Autism Diagnostic Observation Schedule-Second Edition (ADOS-2) in ASD children|Changes in Child Autism Rating Scale (CARS) in ASD children|Changes in Social Communication Questionnaire (SCQ) in ASD children|Changes in Gesell Developmental Schedules (GDS) in ASD children|Changes in Pivotal Behavior Rating Scale (PBRS) in ASD children|Changes in Maternal Behavior Rating Scale (MBRS) in the interaction between ASD children and their parents|Raven's Standard Progressive Matrices (SPM)|Hamilton Depression Scale (HAMD)|Changes in Parenting Stress Index-Short Form (PSI-SF) in parents of ASD children	Tongji Hospital|Tongji Hospital affiliated to Tongji Medical College of Huazhong University of Science & Technology|Fuzhou Children's Hospital of Fujian Medical University|Third Affiliated Hospital of Zhengzhou University|Shenzhen Hospital of Southern Medical University|Children's Hospital of Zhejiang University School of Medicine	All	18 Months to 6 Years   (Child)	Not Applicable	200	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment	TJPLAY	August 1, 2022	December 31, 2023	December 31, 2023	September 8, 2022		September 27, 2022	Fuzhou Children's Hospital of Fujian Medical University, Fuzhou, Fujian, China|Shenzhen Hospital of Southern Medical University, Shenzhen, Guangdong, China|The Third Affiliated Hospital of Zhengzhou University, Zhengzhou, Henan, China|Tongji Hospital affiliated to Tongji Medical College of Huazhong University of Science & Technology, Wuhan, Hubei, China|Children's Hospital of Zhejiang University School of Medicine, Hangzhou, Zhejiang, China		https://ClinicalTrials.gov/show/NCT05531669
408	NCT02719951	Glutaminergic Transmission in Autism : Molecular Imaging Exploration	TANGAU	Completed	No Results Available	Autism|Fragile-X Syndrome (FXS)|Healthy Volunteers	Drug: [18F]FPEB PET imaging|Other: Biological samples|Other: MRI	cerebral glutaminergic activity assessed by binding potential of [18F]FPEB|distribution volume of [18F]FPEB	University Hospital, Tours	Male	18 Years to 45 Years   (Adult)	Phase 1	27	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	PRIA 14 FBB / TANGAU	April 2016	November 15, 2018	May 2019	March 25, 2016		June 11, 2019	CHU Tours, Tours, France		https://ClinicalTrials.gov/show/NCT02719951
409	NCT00352352	Use of Acupuncture In Children With Autistic Spectrum Disorder		Completed	No Results Available	Autism|Autistic Disorder	Procedure: Tongue Acupuncture (Procedure)	Ritvo-Freeman Real Life Scale (RFRLS) was conducted on both groups before (Week 0) and after (Week 8) acupuncture.|Functional Independence Measure for children (WeeFIM) consists of 18 questions concerning on the Functional Independence Measure for children, which was conducted on both groups before (Week 0) and after (Week 8) acupuncture.|Parental Stress Index (PSI) consists of child domain, parent domain and a total domain, which was conducted on both groups before (Week 0) and after (Week 8) acupuncture.|Clinical Global Impression Scale (CGIS) is a measure in a Likert scale of 0 - 7, which was conducted on both groups before (Week 0) and after (Week 8) acupuncture.	The University of Hong Kong	All	3 Years to 15 Years   (Child)	Phase 3	30	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single|Primary Purpose: Treatment	3469296479554546				July 14, 2006		July 14, 2006	Duchess of Kent of Children Hospital, Hong Kong, Hong Kong		https://ClinicalTrials.gov/show/NCT00352352
410	NCT03337035	Probiotics and Oxytocin Nasal Spray on Social Behaviors of Autism Spectrum Disorder (ASD) Children		Completed	No Results Available	Autism Spectrum Disorder	Drug: intranasal oxytocin|Dietary Supplement: oral probiotics|Dietary Supplement: oral placebo	Social Responsiveness Scale (SRS) Edition 2|Aberrant Behavior Checklist (ABC) Edition 2|Neuroinflammation and Oxytocin levels|structural MRI|Functional MRI (resting state)|Functional MRI (task based)|Autonomic indices 1|Autonomic indices 2|Autonomic indices 3|Autonomic indices 4|Autonomic indices 5|Microbiome|Eye tracking and Behavioral task (joint attention)|Eye tracking and behavioral task (emotion response)|Eye tracking and behavioral task (eye behavior)	Massachusetts General Hospital	All	3 Years to 25 Years   (Child, Adult)	Phase 1	35	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment	2017P001667	December 1, 2018	October 2, 2019	October 2, 2019	November 8, 2017		March 4, 2020	Massachusetts General Hospital, Charlestown, Massachusetts, United States		https://ClinicalTrials.gov/show/NCT03337035
411	NCT05131347	Effects of Motor Skill Occupational Therapy Intervention ON ASD (Motion ASD)		Recruiting	No Results Available	Autism Spectrum Disorder	Behavioral: motor intervention|Behavioral: cognitive intervention	Bruininks-Oseretsky Test of Motor Proficiency-Second Edition (BOT-2) Brief Form|Vineland Adaptive Behavior Scales-Third Edition	National Cheng Kung University	All	4 Years to 5 Years   (Child)	Not Applicable	30	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	A-BR-109-011	May 6, 2022	December 31, 2022	December 31, 2023	November 23, 2021		December 20, 2022	National Cheng Kung University, Tainan, Taiwan		https://ClinicalTrials.gov/show/NCT05131347
412	NCT00346736	Use of Acupuncture In Children With Autistic Spectrum Disorder		Completed	No Results Available	Autistic Disorder|Autism	Procedure: Acupuncture (Procedure)	Aberrant Behavioral Checklist (ABC) will be completed by parents and teachers at Week 0, once during Week 6 to Week 7, and once during Week 14 to Week 15.|Ritvo-Freeman Real LIfe Scale (RFRLS) will be completed by parents and teachers at Week 0, once during Week 6 to Week 7, and once during Week 14 to Week 15.|Functional Independence Measure for Children (WeeFIM) will be conducted by trained Research Assistant at Week 0, once during Week 6 to Week 7, and once during Week 14 to Week 15.|Pediatric Evaluation Disability Inventory (PEDI) will be completed by parents and teachers at Week 0, once during Week 6 to Week 7, and once during Week 14 to Week 15.|Leiter International Performance Scale-Revised will be conducted on patient by trained Research Assistant at Week 0, once during Week 6 to Week 7, and once during Week 14 to Week 15.|Reynell Language Developmental Scale will be conducted on patient by trained Research Assistant at Week 0, once during Week 6 to Week 7, and once during Week 14 to Week 15.|Symbolic Play Test will be conducted on patient by trained Research Assistant at Week 0, once during Week 6 to Week 7, and once during Week 14 to Week 15.|Clinical Global Impression Scale (CGIS) will be self administered by parent and by trained Research Assistant at Week 0, once during Week 6 to Week 7, and once during Week 14 to Week 15.	The University of Hong Kong	All	3 Years to 18 Years   (Child, Adult)	Phase 3	80	Other	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double|Primary Purpose: Treatment	UW 04-096 T/418	May 2005	June 2006	March 2007	June 30, 2006		September 3, 2008	TWGHs Tung Wah Hospital, Hong Kong, Hong Kong		https://ClinicalTrials.gov/show/NCT00346736
413	NCT00325572	Evaluation and Treatment of Copper/Zinc Imbalance in Children With Autism		Terminated	Has Results	Autism|Pervasive Developmental Disorder	Drug: oral zinc and vitamin C supplements|Other: oral Placebo	Copper/Zinc Ratio of Children With Autism Compared to Typically Developing Children Phase 2: Change in Copper/Zinc Ratio With Supplementation of Zinc and Vitamin C	Milton S. Hershey Medical Center|Thrasher Research Fund	All	3 Years to 8 Years   (Child)	Phase 1	89	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	23275	November 2006	December 2010	December 2011	May 15, 2006	July 17, 2019	July 17, 2019	Penn State Children's Hospital, Hershey, Pennsylvania, United States		https://ClinicalTrials.gov/show/NCT00325572
