Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
59	NCT03419611	Word Learning in Children With Autism		Unknown status	No Results Available	Autistic Disorders Spectrum	Behavioral: Multi-Modal|Other: Treatment as Usual|Behavioral: High Intensity Multi-Modal	Expressive Word Acquisition|Change in Expressive Word Acquisition|Receptive Word Acquisition|Change in Receptive Word Acquisition|Communication Complexity Scale|Change in Communication Complexity Scale	University of Kansas|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)	All	5 Years to 10 Years   (Child)	Not Applicable	60	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	STUDY00140285|U54HD090216	November 1, 2016	May 31, 2021	May 31, 2021	February 5, 2018		April 29, 2019	University of Kansas, Lawrence, Kansas, United States	"Informed Consent Form", https://ClinicalTrials.gov/ProvidedDocs/11/NCT03419611/ICF_000.pdf	https://ClinicalTrials.gov/show/NCT03419611
60	NCT00198107	Evaluating the Effectiveness of Aripiprazole and D-Cycloserine to Treat Symptoms Associated With Autism		Completed	Has Results	Autistic Disorder	Drug: Aripiprazole|Drug: Placebo|Drug: D-cycloserine	Mean Post-baseline Aberrant Behavior Checklist Irritability Score, Parent Report, Double-blind Phase|Odds of Improvement as Measured by the Clinical Global Impression-Global Improvement Scale (Improvement Defined as CGI-I=1 or CGI-I=2)|Mean Post-baseline Aberrant Behavior Checklist Hyperactivity Score, Parent Report, Double-blind Phase|Mean Post-baseline Aberrant Behavior Checklist Inappropriate Speech Score, Parent Report, Double-blind Phase|Mean Post-baseline Aberrant Behavior Checklist Social Withdrawal Score, Parent Report, Double-blind Phase|Mean Post-baseline Aberrant Behavior Checklist Stereotypy Score, Parent Report, Double-blind Phase|Mean Post-baseline Score on a Modified Version of the Compulsion Subscale of the Children's Yale-Brown Obsessive Compulsive Scale (CY-BOCS)|Mean Vineland Maladaptive Behavior Subscales Total Score, Week 8|Mean Autism Diagnostic Observation Schedule (ADOS) Social Affect and Restricted and Repetitive Behaviors Total Score, Week 8|Mean Social Reciprocity Scale (SRS) Total Score, Week 8	Indiana University|National Institute of Mental Health (NIMH)	All	5 Years to 17 Years   (Child)	Phase 3	81	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	R01MH072961|DSIR 82-SEDR	September 2005	September 2011	September 2011	September 20, 2005	March 29, 2019	April 9, 2019	Riley Hospital for Children, Christian Sarkine Autism Treatment Center, Indianapolis, Indiana, United States		https://ClinicalTrials.gov/show/NCT00198107
61	NCT05396352	Cerebellum and Autism: Regional Specialization for Social and Executive Functions		Recruiting	No Results Available	Autism|Autism Spectrum Disorder	Device: Transcranial direct current stimulation	Reading the Mind in the Eyes Test Adult Version|Cyberball social ball-playing task|Flexible Item Selection Test|Functional MRI data	American University|National Institutes of Health (NIH)|National Institute of Mental Health (NIMH)	All	18 Years to 35 Years   (Adult)	Not Applicable	80	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Basic Science	R15MH126404	January 1, 2022	December 31, 2024	December 31, 2024	May 31, 2022		June 1, 2022	American University, Washington, District of Columbia, United States		https://ClinicalTrials.gov/show/NCT05396352
62	NCT02725619	CBT for Anxiety in Children With Autism		Recruiting	No Results Available	Autism Spectrum Disorder|Anxiety	Behavioral: CBT|Behavioral: PST	Pediatric Anxiety Rating Scale (PARS)|Clinical Global Impression - Improvement (CGI-I) scale|blood oxygenation level dependent signal (BOLD) during down-regulation versus passive viewing of affective images.|blood oxygenation level dependent signal (BOLD) during emotional face perception task	Yale University|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)	All	8 Years to 14 Years   (Child)	Not Applicable	150	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	1211011144B|1R01HD083881-01A1	April 2016	December 2022	December 2022	April 1, 2016		December 3, 2021	Yale Child Study Center, New Haven, Connecticut, United States		https://ClinicalTrials.gov/show/NCT02725619
63	NCT00376194	Mercury Chelation to Treat Autism		Withdrawn	No Results Available	Autism|Asperger's Disorder|Child Development Disorders, Pervasive	Drug: DMSA	Improvement in social reciprocity.|Improvement in language skills, decrease in blood mercury levels.	National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC)	All	4 Years to 10 Years   (Child)	Phase 2	0	NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment	060238|06-M-0238	September 2006		March 2007	September 14, 2006		September 18, 2013	National Institute of Mental Health (NIMH), 9000 Rockville Pike, Bethesda, Maryland, United States		https://ClinicalTrials.gov/show/NCT00376194
64	NCT03984513	Daily Living Skills Intervention for 9th and 10th Graders With Autism Spectrum Disorders		Completed	No Results Available	Autism Spectrum Disorder	Behavioral: Surviving and Thriving in the Real World|Behavioral: Program for the Education and Enrichment of Relational Skills	Vineland Adaptive Behavior Scales, 3rd Edition	Children's Hospital Medical Center, Cincinnati|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)	All	14 Years to 21 Years   (Child, Adult)	Not Applicable	48	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	CIN-DUNCAN-2018-5606|1K23HD094855-01A1	September 25, 2018	February 28, 2022	February 28, 2022	June 13, 2019		August 10, 2022	Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States		https://ClinicalTrials.gov/show/NCT03984513
65	NCT01985022	Changing Developmental Trajectories Through Early Treatment		Recruiting	No Results Available	Autism Spectrum Disorders	Behavioral: PII with IES|Behavioral: IES	Child's social communication|Child's Autism Symptoms|Child's Developmental Level|Child's Adaptive Behavior|Parent Report	Emory University|National Institute of Mental Health (NIMH)	All	9 Months to 24 Months   (Child)	Not Applicable	108	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	IRB00064779|P50MH100029-02	May 2013	July 2022	December 2022	November 15, 2013		June 10, 2021	Marcus Autism Center, Atlanta, Georgia, United States		https://ClinicalTrials.gov/show/NCT01985022
66	NCT02361762	Gaming for Autism to Mold Executive Skills Project	GAMES	Completed	Has Results	Autism Spectrum Disorders	Behavioral: Computerized executive control training	Change Task - Stop Signal Reaction Time|Stroop Task (Difference in Percentage of Correct Responses for Congruent Minus Incongruent Trials)|Event-related Potentials Assessed During Child Attention Network Flanker Task|BRIEF Parent Survey (Global Executive Composite)|Backward Digit Span (Scaled Score)|Social Attribution Task (SAT) - Problem Solving Scale|Theory of Mind Composite: Perception Knowledge, Location Change False Belief, Unexpected-contents False Belief|TOM Test (Theory of Mind Test)|Social Skills Improvement System-Parent (SSIS) - Social Standard Score|Narrative Language Task|Performance on Hungry Donkey Task Assessed as Ratio of Safe to Risky Selections|Event-related Potentials Assessed During Cued Go/Nogo Task	Boston Children's Hospital|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)	All	7 Years to 11 Years   (Child)	Not Applicable	70	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	P00014188|R00HD071966	February 2015	November 2017	November 2017	February 12, 2015	February 20, 2019	July 28, 2021	Boston Children's Hospital: Labs of Cognitive Neuroscience- Faja Lab, Boston, Massachusetts, United States	"Study Protocol and Statistical Analysis Plan", https://ClinicalTrials.gov/ProvidedDocs/62/NCT02361762/Prot_SAP_000.pdf	https://ClinicalTrials.gov/show/NCT02361762
67	NCT04218331	Boosting Language Outcomes of Minimally Verbal Children With ASD (BLOOM)	BLOOM	Recruiting	No Results Available	Autism Spectrum Disorder	Behavioral: JASPER|Behavioral: PROMPT	Change in spontaneous socially communicative utterances (SCU) using the Elicitation of Language Samples for Analysis (ELSA).|Change in number of novel and distinct word root (NDWR), and presence of word combinations at age six based on the ELSA language sample.|Change in number of novel and distinct word root (NDWR) based on the Preschool Language Scales-5 (PLS-5).|Presence of word combinations at age six based on the Preschool Language Scales-5 (PLS-5)	University of California, Los Angeles|National Institutes of Health (NIH)	All	48 Months to 66 Months   (Child)	Not Applicable	80	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	19-000806	April 29, 2021	June 30, 2024	June 30, 2024	January 6, 2020		October 12, 2022	UCLA Semel Institute, Los Angeles, California, United States|UCLA, Los Angeles, California, United States		https://ClinicalTrials.gov/show/NCT04218331
68	NCT02276534	SENSE Theatre Intervention for Children With Autism Spectrum Disorder (ASD)		Completed	No Results Available	Autism Spectrum Disorder	Behavioral: SENSE Theatre|Behavioral: Delayed Intervention	NEPSY Memory for faces|Measurement of Salivary Cortisol levels|Event Related Potentials (ERP) incidental memory task|Social Responsiveness Scale|Peer Interaction Playground Paradigm|Adaptive Behavior Assessment System|Parenting Stress Index|Clinical Evaluation of Fundamentals Recalling Sentences subtest|Peabody Picture Vocabulary Test	Vanderbilt University|National Institute of Mental Health (NIMH)|Vanderbilt University Medical Center	All	8 Years to 16 Years   (Child)	Not Applicable	136	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	110082	August 2014	May 2017	May 2017	October 28, 2014		June 14, 2017	Vanderbilt Kennedy Center, Nashville, Tennessee, United States		https://ClinicalTrials.gov/show/NCT02276534
69	NCT04869540	Improving Transition Outcomes for Youth With ASD in a Medicaid Accountable Care Organization		Withdrawn	No Results Available	Autism Spectrum Disorder	Other: Usual care|Other: 'Got Transition' toolkit and resources|Behavioral: PSE intervention	Baseline Pediatric Evaluation of Disability Inventory-Computer Adaptive Test (PEDI-CAT) ASD|6 months PEDI-CAT ASD|Social skills|Cognition|Parent Functioning and Depressive Symptoms assessed by SAS-SR|Parent Functioning and Depressive Symptoms assessed by QIDS|Family Empowerment|Perceived parental stress|Parental stress|Perceived youth stress|Parental coping strategies|Youth coping strategies|Vocational and Educational Activities|Health Care Transition Readiness and Family Perception of Health Care Integration using TRAQ|Health Care Transition Readiness and Family Perception of Health Care Integration using the Pediatric Integrated Care Survey (PICS)	Boston Medical Center|National Institute of Mental Health (NIMH)	All	14 Years and older   (Child, Adult, Older Adult)	Not Applicable	0	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Health Services Research	H-41693|5K18MH120457	April 2022	December 2022	December 2022	May 3, 2021		April 22, 2022			https://ClinicalTrials.gov/show/NCT04869540
70	NCT05154981	Partners in School: Promoting Continuity Across Home and School		Recruiting	No Results Available	Autism Spectrum Disorder	Behavioral: Education communication skills (ECS) training|Behavioral: Partners in School	Adapted LEAPS Questionnaire about ECS training (A-LEAPS)|Parent-Teacher Relationship Scale-Second Edition (PTRS-II)|Parent-Teacher Alliance Questionnaire (PTAQ)|Participation in Problem Solving Scale (PPSS)|Change from Baseline Fidelity (to Student Intervention Plan) at 3 weeks|Change from Baseline Alignment (of Student Intervention Plan) at 3 weeks|Frequency and Severity Form (FSF)|Pervasive Developmental Disorder Behavior Inventory (PDDBI)|Goal Attainment Scaling (GAS)|Family-Professional Partnership Scale (FPPS)|Self-Efficacy with Communication Form (SECF)|Consultant Adherence	New York State Psychiatric Institute|National Institute of Mental Health (NIMH)	All	18 Years and older   (Adult, Older Adult)	Not Applicable	72	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment	8302|5K23MH119331-04	September 15, 2022	June 15, 2023	August 15, 2023	December 13, 2021		November 14, 2022	Research Foundation for Mental Hygiene at the New York State Psychiatric Institute, New York, New York, United States		https://ClinicalTrials.gov/show/NCT05154981
71	NCT01784263	Schema, Emotion, and Behavior Therapy for Children	SEBASTIEN	Completed	No Results Available	Autism Spectrum Disorder	Behavioral: Individual Cognitive Behavioral Therapy|Behavioral: Standard Community Treatment	Playground Observation of Peer Engagement scale	University of California, Los Angeles|National Institute of Mental Health (NIMH)	All	9 Years to 13 Years   (Child)	Not Applicable	70	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	11-002061|1R01MH094391-01A1	March 1, 2012	February 1, 2017	September 1, 2017	February 5, 2013		September 7, 2018	Jeffrey Wood, Los Angeles, California, United States		https://ClinicalTrials.gov/show/NCT01784263
72	NCT04312932	Fatty Acid Supplementation in Children With ASD (Study 2)	Omega Heroes	Enrolling by invitation	No Results Available	Autism Spectrum Disorder	Drug: LCPUFA Oil Supplement|Dietary Supplement: Canola Oil Placebo	Pervasive Developmental Disorder Behavior Inventory (PDDBI) - Autism Composite|Vineland Adaptive Behavior Scales 2nd ed. (modified timeframe of 90 days)|Pervasive Developmental Disorder (PDD) Behavior Inventory (PDDBI) - Aggressiveness Problems|Preschool Language Scales - 5 (PLS-5)|Childhood Autism Rating Scale (CARS2) (2nd ed.)|Autism Impact Measure	Sarah Keim|National Center for Complementary and Integrative Health (NCCIH)|Nationwide Children's Hospital	All	2 Years to 6 Years   (Child)	Phase 2	96	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	IRB17-00517-2	December 1, 2021	October 31, 2023	January 31, 2024	March 18, 2020		December 20, 2022	Nationwide Children's Hospital, Columbus, Ohio, United States		https://ClinicalTrials.gov/show/NCT04312932
73	NCT01908686	Pivotal Response Treatment for Children With Autism Spectrum Disorders	PRT	Completed	No Results Available	Autism Spectrum Disorders	Behavioral: Pivotal Response Training	Social Responsiveness Scale (SRS) Total Score|Clinical Global Impressions Scale (CGI-I)|Autism Diagnostic Observation Schedule (ADOS) Comparison Score|Aberrant Behavior Checklist (ABC)|Vineland Domain Scores|Change in Eye Tracking (ET) patterns|Change in neural response to social stimuli using fMRI	Yale University|National Institute of Neurological Disorders and Stroke (NINDS)	All	4 Years to 35 Years   (Child, Adult)	Not Applicable	40	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	1106008625|2R01NS035193-18	May 2012	December 1, 2019	March 1, 2020	July 26, 2013		August 14, 2020	Yale Child Study Center - Autism Program, New Haven, Connecticut, United States		https://ClinicalTrials.gov/show/NCT01908686
74	NCT00178503	Methylphenidate for Attention Deficit Hyperactivity Disorder and Autism in Children		Completed	Has Results	Autism|Attention Deficit Disorder With Hyperactivity	Drug: Methylphenidate-extended release|Drug: Methylphenidate-immediate release|Other: Placebo	Mean Conners' Teacher ADHD Index T Score by Dose|Mean Continuous Performance Test (CPT)-Commission Errors by Dose|Mean Conners' Parent ADHD Index T Score by Week	The University of Texas Health Science Center, Houston|National Institute of Mental Health (NIMH)	All	7 Years to 12 Years   (Child)	Phase 2|Phase 3	24	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	R01MH072263|DDTR B2-NDA	September 2005	May 2011	May 2011	September 15, 2005	May 7, 2013	May 9, 2013	University of Texas Health Science Center at Houston, Houston, Texas, United States		https://ClinicalTrials.gov/show/NCT00178503
75	NCT03550209	Fatty Acid Supplementation in Children With ASD	Omega Heroes	Completed	Has Results	Autism Spectrum Disorder	Drug: LCPUFA Oil Supplement|Dietary Supplement: Canola Oil Placebo	Bioavailability|Safety (Adverse Events)|Biological Signatures	Sarah Keim|National Center for Complementary and Integrative Health (NCCIH)|Nationwide Children's Hospital	All	2 Years to 6 Years   (Child)	Phase 2	72	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	IRB17-00517|R61AT009632	June 28, 2018	January 10, 2020	January 10, 2020	June 8, 2018	April 2, 2021	August 3, 2021	Nationwide Children's Hospital, Columbus, Ohio, United States	"Study Protocol and Statistical Analysis Plan", https://ClinicalTrials.gov/ProvidedDocs/09/NCT03550209/Prot_SAP_002.pdf|"Informed Consent Form", https://ClinicalTrials.gov/ProvidedDocs/09/NCT03550209/ICF_001.pdf	https://ClinicalTrials.gov/show/NCT03550209
76	NCT00183339	Early Intervention With Fluoxetine in Autism		Completed	Has Results	Autistic Disorder	Drug: Fluoxetine|Drug: Placebo	Rate of Recruitment|Rate of Attrition|Change From Baseline to 12 Months in Total Score on Caregiver Strain Questionnaire|Change From Baseline to Month 12 in Aberrant Behavior Checklist Irritability Subscale Score (ABC-I)	University of North Carolina, Chapel Hill|National Institute of Mental Health (NIMH)	All	30 Months to 58 Months   (Child)	Phase 2	18	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	U54MH066418	July 2005	February 2008	February 2008	September 16, 2005	March 26, 2014	March 26, 2014	Mount Sinai School of Medicine, New York, New York, United States|University of North Carolina, Chapel Hill, Chapel Hill, North Carolina, United States		https://ClinicalTrials.gov/show/NCT00183339
77	NCT03274622	Efficacy of IMPACT in Infant Siblings of Children With ASD	IMPACT	Completed	No Results Available	Autism Spectrum Disorder	Behavioral: Impact Parent Training|Behavioral: No Impact	Growth in communication|Growth in play|Motor imitation|Autism social affect symptomatology|Language delay|language level|parent implementation of ImPACT treatment	Vanderbilt University|National Institute on Deafness and Other Communication Disorders (NIDCD)	All	12 Months to 18 Months   (Child)	Not Applicable	97	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Treatment	140924|1R01DC013767-01	February 16, 2016	August 30, 2019	August 30, 2019	September 7, 2017		October 2, 2019	Vanderbilt University, Nashville, Tennessee, United States|University of Washington, Seattle, Washington, United States		https://ClinicalTrials.gov/show/NCT03274622
78	NCT01190917	Neural and Behavioral Outcomes of Social Skills Groups in Children With Autism Spectrum Disorder (ASD)		Completed	No Results Available	Autism|Autism Spectrum Disorder	Behavioral: Cognitive Behavioral Therapy (CBT)|Behavioral: Play Therapy	Diagnostic Analysis of Nonverbal Accuracy-2* (DANVA2)|Reading the Mind in the Eyes Task - Child Version|Functional Magnetic Resonance Imaging (fMRI)|Social Responsiveness Scale (SRS)|Strange Stories Task|Vineland Adaptive Behavior Scales, Second Edition (Vineland II)|Autism Diagnostic Observation Schedule (ADOS)|Direct Observation|Peer generalization assessment	Icahn School of Medicine at Mount Sinai|National Institute of Mental Health (NIMH)	All	8 Years to 11 Years   (Child)	Not Applicable	50	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	GCO #09-0859|R21MH089236	September 2009	September 2012	September 2012	August 30, 2010		October 2, 2012	Mount Sinai School of Medicine - Seaver Autism Center, New York, New York, United States		https://ClinicalTrials.gov/show/NCT01190917
79	NCT05187377	A Controlled Trial of Growth Hormone in Phelan-McDermid Syndrome and Idiopathic Autism		Recruiting	No Results Available	Phelan-McDermid Syndrome|Autism Spectrum Disorder (ASD)	Drug: Growth Hormone|Drug: Saline	Visual Evoked Potentials (VEP)|Aberrant Behavior Checklist (ABC) Social Withdrawal Subscale|Repetitive Behavior Scale-Revised (RBS-R)|Sensory Profile|Sensory Assessment for Neurodevelopmental Disorders (SAND)	Icahn School of Medicine at Mount Sinai|National Institute of Neurological Disorders and Stroke (NINDS)	All	2 Years to 12 Years   (Child)	Phase 2	45	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	STUDY-18-00245|R01NS105845|GCO 17-1159	January 19, 2022	July 1, 2024	July 1, 2024	January 11, 2022		July 26, 2022	Seaver Autism Center for Research & Treatment, New York, New York, United States		https://ClinicalTrials.gov/show/NCT05187377
80	NCT00927030	Melatonin for Sleep in Children With Autism	NICHD	Completed	No Results Available	Autistic Disorder|Insomnia	Drug: supplemental liquid melatonin|Drug: flavored liquid or liquid supplemental melatonin	Determine dose-response, tolerability, and adverse effects of melatonin in 30 children with autism.|A sub-set of 12 children will be studied to characterize the pharmacokinetic profile of orally administered melatonin.|A group of behavioral and parental stress measures will be piloted for the participants in this study.	Vanderbilt University|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)	All	4 Years to 10 Years   (Child)	Phase 1	17	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Single (Care Provider)|Primary Purpose: Treatment	071269	January 2008	April 2010	October 2010	June 24, 2009		July 2, 2012	Vanderbilt Medical Center, Nashville, Tennessee, United States		https://ClinicalTrials.gov/show/NCT00927030
81	NCT00047697	Donepezil HCl & Cognitive Deficits in Autism		Completed	Has Results	Autistic Disorder	Drug: Donepezil HCl|Drug: Placebo	Cognitive Assessment: TMT|Cognitive Assessment: EOWVT Standard Score|Cognitive Assessment: CVLT	University of Pittsburgh|National Institute of Mental Health (NIMH)	All	8 Years to 17 Years   (Child)	Phase 2	34	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	R21MH064941|DSIR CT-M3	October 2002	August 2006	August 2006	October 16, 2002	October 5, 2017	October 5, 2017	Western Psychiatric Institute & Clinic, Pittsburgh, Pennsylvania, United States		https://ClinicalTrials.gov/show/NCT00047697
82	NCT02301195	Trial of Therapeutic Horseback Riding in Children and Adolescents With Autism Spectrum Disorder		Completed	No Results Available	Autism Spectrum Disorder|Child Development Disorders, Pervasive	Other: Therapeutic horseback riding|Other: Barn Activity Intervention	Change in Aberrant Behavior Checklist-Community (Irritability subscale)|Change in Aberrant Behavior Checklist-Community (Hyperactivity, Lethargy, Stereotypy subscale)|Change in Social Responsiveness|Change in Systematic Analysis of Language Transcript|Change in Peabody Picture Vocabulary Test-4|Change in Bruininks-Oseretsky Test of Motor Proficiency-2nd Ed. (Short form)|Change In Sensory Integration and Praxis Test (Praxis on verbal command & Postural Praxis subtests)|Change in Vineland Adaptive Behavior Scales Interview 2nd Ed.	University of Colorado, Denver|National Institute of Nursing Research (NINR)	All	6 Years to 16 Years   (Child)	Not Applicable	209	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Other	07-1148|1R01NR012736	October 2010	June 19, 2014	June 19, 2014	November 25, 2014		October 8, 2021			https://ClinicalTrials.gov/show/NCT02301195
83	NCT04881656	Evaluating the Impact of Telehealth-Based ASD Assessments and Supports on Child and Caregiver Outcomes		Recruiting	No Results Available	Autism Spectrum Disorder	Other: Help is in Your Hands	Parent Stress Index 4th Edition, Short Form|Parent Sense of Competence|Telehealth Usability Questionnaire	University of California, Davis|National Center for Advancing Translational Sciences (NCATS)|National Institute of Mental Health (NIMH)	All	6 Months to 99 Years   (Child, Adult, Older Adult)	Not Applicable	80	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care	1749700	September 1, 2021	May 31, 2023	May 31, 2033	May 11, 2021		February 2, 2022	University of California Davis Health, Sacramento, California, United States		https://ClinicalTrials.gov/show/NCT04881656
84	NCT00926471	Social Skills and Anxiety Reduction Treatment for Children and Adolescents With Autism Spectrum Disorders		Completed	No Results Available	Autistic Disorder|Child Development Disorders, Pervasive	Behavioral: Cognitive Behavioral Therapy (CBT) Program	Child and Adolescent Symptom Inventory 20-Item Anxiety Subscale (CASI-20)	Virginia Polytechnic Institute and State University|National Institute of Mental Health (NIMH)	All	12 Years to 17 Years   (Child)	Phase 1	30	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	K01MH079945|DDTR B2-MBA	September 2008	May 2011	January 2013	June 23, 2009		November 7, 2013	Virginia Polytechnic Institute and State University, Blacksburg, Virginia, United States		https://ClinicalTrials.gov/show/NCT00926471
85	NCT00965068	Cholesterol in ASD: Characterization and Treatment		Completed	No Results Available	Autism|Asperger Disorder|PDD-NOS	Other: Cholesterol	Behavioral Changes	Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|National Institutes of Health Clinical Center (CC)	All	4 Years to 12 Years   (Child)	Phase 1|Phase 2	44	NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Treatment	090203|09-CH-0203	July 28, 2009		November 14, 2013	August 25, 2009		July 5, 2018	National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States		https://ClinicalTrials.gov/show/NCT00965068
86	NCT04764539	Video Assisted Speech Technology to Enhance Motor Planning for Speech	VAST	Completed	No Results Available	Autism Spectrum Disorder|Apraxia of Speech	Behavioral: Video Assisted Speech Therapy (VAST)	Increased mean length of utterance (MLU)|percentage of correctly transcribed words using automatic speech recognition|change speech intelligibility|Generalization of skills	iTherapy, LLC|National Institute on Deafness and Other Communication Disorders (NIDCD)	All	4 Years to 8 Years   (Child)	Phase 1	6	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	1R43DC018447-01	December 1, 2019	November 30, 2020	November 30, 2020	February 21, 2021		February 21, 2021	All research was conducted via tele-research due to COVID-19, Vallejo, California, United States		https://ClinicalTrials.gov/show/NCT04764539
